letter,position,percent1,delta,x,y
n,4,0.259259259,0.12962963,6,2
a,4,0.32,0.1,6,3
q,2,0.089552239,-0.656716418,7,0
x,2,0.29787234,0.063829787,4,7
y,2,0.215686275,0.098039216,7,1
u,2,0.106382979,0.106382979,7,1
r,7,0.222222222,0.074074074,0,7
i,8,0.133333333,0.133333333,4,1
k,8,0.206349206,0.095238095,7,2
s,6,0.209302326,0.11627907,7,1
u,6,0.255319149,0.042553191,5,3
r,2,0.259259259,0.037037037,3,3
s,4,0.093023256,0.093023256,4,1
x,6,0.14893617,0.063829787,3,2
p,2,0.196969697,0.106060606,7,1
i,6,0.233333333,0.033333333,1,11
y,6,0.156862745,0.019607843,2,9
x,8,0.319148936,0.042553191,4,7
n,4,0.037037037,0.037037037,1,1
y,8,0.274509804,0.039215686,8,3
r,5,0.111111111,0.111111111,6,0
v,4,0.157894737,0.026315789,2,4
a,8,0.04,0.02,1,2
f,8,0.24,0.08,4,11
d,2,0.181818182,0.03030303,3,6
f,6,0.26,0.06,4,4
j,8,0.119047619,0.023809524,2,5
s,4,0.255813953,0.069767442,3,4
p,8,0.106060606,0.03030303,2,7
o,2,0.14,0.06,5,2
p,4,0.257575758,0.045454545,2,10
w,2,0.23880597,0.104477612,10,2
f,6,0.18,0.06,7,2
a,8,0.16,0.02,3,3
e,6,0.0625,0.041666667,2,2
t,4,0.243243243,0.108108108,3,3
a,6,0.04,0.02,1,2
n,8,0.314814815,0.092592593,7,3
k,4,0.206349206,0.047619048,4,4
m,8,0.232876712,0.02739726,3,8
z,6,0.046511628,0.046511628,2,1
